Area,City,Neighborhood,Transaction reference number,Date,Property classification,Property type,Number of properties,Price,Space,Price per square meter
Eastern Region,Hafar Al-Batin,Al-Morouj ,20032947,5/29/2023,Residential,land,1,225000,400.0,563
Medina region,AL Madinah, Abar Ali ,19724284,4/6/2023,Residential,land,1,800000,573.5,"1,395"
Riyadh region,Riyadh,Namar,19968483,5/18/2023,Residential,land,1,340000,460.0,739
Eastern Region,Dammam, alsayf ,19744951,4/9/2023,Residential,land,1,1331250,750.0,"1,775"
Makkah Region,Jeddah,Jawharat Al Arous ,20282942,6/25/2023,Residential,land,1,450000,900.0,500
Tabuk region,Tabuk, Al-Qadisiyah  ,20661775,8/16/2023,Residential,apartment,1,288800,143.42,"2,014"
Riyadh region,Riyadh,Rawda,19713262,4/5/2023,Residential,land,1,600000,750.0,800
Qassim region,baridah, Khadra ,19885710,5/9/2023,Residential,land,1,200000,431.35,464
Riyadh region,Riyadh,East of Riyadh,20826901,9/4/2023,Residential,land,1,285000,600.0,475
Riyadh region,Riyadh,Al-Shifa,20098838,6/4/2023,Residential,land,1,1000000,625.0,"1,600"
Riyadh region,Riyadh,Nahda,19746501,4/9/2023,Residential,land,1,900000,750.0,"1,200"
Medina region,AL Madinah, Hurat Jabal Eir ,21021473,9/23/2023,Residential,land,1,840000,832.05,"1,010"
Eastern Region,Dammam, Al-Jawhara ,20846924,9/6/2023,Residential,apartment,1,478389,219.76,"2,177"
Riyadh region,Riyadh,Arid,20430770,7/20/2023,Residential,land,1,200000,225.0,889
Riyadh region,Riyadh,alrimal,20124140,6/6/2023,Residential,land,1,1664334,317.55,"5,241"
Riyadh region,Riyadh,Munsiyah,20047979,5/29/2023,Residential,land,1,1235560,363.41,"3,400"
Makkah Region,Jeddah,Al-Fahd,20399342,7/16/2023,Residential,apartment,1,258000,82.66,"3,121"
Makkah Region,Jeddah, Salhiya  ,20038399,5/28/2023,Residential,apartment,1,150000,173.1,867
Qassim region,Onaizah,Al-Fahd alsinaeaa,20507850,8/2/2023,Residential,land,1,80000,300.0,267
Riyadh region,Riyadh,Al-Malqa,19754663,4/10/2023,Residential,land,1,5220000,900.0,"5,800"
Asir region,Khamis Mushait, almuearid ,20461985,7/24/2023,Residential,land,1,1045000,599.86,"1,742"
Makkah Region,Jeddah, Al-Fayhaa ,20248404,6/20/2023,Residential,apartment,1,700000,265.92,"2,632"
Qassim region,Albkirih,Bukiriya,20001232,5/23/2023,Residential,land,1,200000,735.0,272
Makkah Region,Jeddah, Al Nada ,20622407,8/11/2023,Residential,land,1,280000,900.0,311
Eastern Region,Qatif,Tarut,20767545,8/29/2023,Residential,land,1,1336060,607.3,"2,200"
Makkah Region,khulays, Al-Barika ,20503335,7/29/2023,Residential,land,1,140000,713.0,196
Makkah Region,Jeddah,Al-Hamdaniya ,20677726,8/17/2023,Residential,apartment,1,530000,115.28,"4,598"
Riyadh region,Riyadh,alsuwaydaa,20630156,8/13/2023,Residential,land,1,900000,500.0,"1,800"
Riyadh region,Riyadh,Al-Khair,21003804,9/27/2023,Residential,land,1,1200000,900.0,"1,333"
Makkah Region,Jeddah,jawharat alearus,21055193,9/27/2023,Residential,land,1,260000,419.97,619
Eastern Region,aleuyun, Rabieh ,19861302,5/7/2023,Residential,land,1,472672,630.23,750
Makkah Region,Jeddah, Al-Rayyan ,19830888,5/1/2023,Residential,apartment,1,360000,129.74,"2,775"
Riyadh region,Riyadh,East of Riyadh,20156717,6/10/2023,Residential,land,1,720000,2250.0,320
Riyadh region,Riyadh,Munsiyah,20098341,6/4/2023,Residential,land,1,705600,250.0,"2,822"
Qassim region,baridah, Naqa ,20192140,6/15/2023,Residential,land,1,120000,500.0,240
Riyadh region,Riyadh,East of Riyadh,20793980,8/31/2023,Residential,land,1,600000,900.0,667
Riyadh region,Riyadh,Arid,19823986,4/30/2023,Residential,land,1,200000,405.0,494
Makkah Region,Jeddah, alwidad ,19773882,4/13/2023,Residential,land,1,300000,876.3,342
Riyadh region,Riyadh,Al-Khair,19972583,5/20/2023,Residential,land,1,850000,780.0,"1,090"
Jazan region,samitah, alnaeim ,20304764,7/5/2023,Residential,land,1,150000,700.0,214
Al Bahah region,Al Baha, Al-Baha ,21002619,9/20/2023,Residential,land,1,200000,509.58,392
Eastern Region,Dammam, Al-Shuala ,20650423,8/15/2023,Residential,land,1,834755,609.31,"1,370"
Riyadh region,Riyadh,alnarjis,20967121,9/17/2023,Residential,land,1,1605000,300.0,"5,350"
Riyadh region,Riyadh,Al-Ma'athar,20098427,6/4/2023,Residential,apartment,1,1250000,141.29,"8,847"
Riyadh region,Riyadh, Umm Al-Hamam  ,20761312,8/28/2023,Residential,land,1,1450000,500.0,"2,900"
Makkah Region,Jeddah, Al-Rayyan ,20266731,6/22/2023,Residential,apartment,1,689693,189.85,"3,633"
Makkah Region,Jeddah, Umm Hablin ,20478051,7/25/2023,Residential,apartment,1,690000,224.18,"3,078"
Eastern Region,Dammam, Al Nada ,20036227,5/28/2023,Residential,apartment,1,70000,98.94,707
Eastern Region,Hafar Al-Batin, albaladia ,20632469,8/13/2023,Residential,land,1,150000,480.0,313
Makkah Region,Makkah,Rabwat Mecca,20283802,6/25/2023,Residential,land,1,3538260,660.0,"5,361"
Riyadh region,Riyadh,aldaar albayda,20628545,8/13/2023,Residential,apartment,1,484999,152.0,"3,191"
Eastern Region,Khafji, Al-Jawhara ,20576433,8/7/2023,Residential,land,1,200000,632.44,316
Makkah Region,Makkah,Batha Quraish,20187772,6/14/2023,Residential,apartment,1,280880,102.78,"2,733"
Riyadh region,Riyadh,Laban,20290250,7/2/2023,Residential,land,1,800000,450.0,"1,778"
Qassim region,baridah, Dharij,20544642,8/2/2023,Residential,land,1,189000,450.0,420
Makkah Region,Jeddah, alnajma ,21078247,9/28/2023,Residential,land,1,500000,496.3,"1,007"
Makkah Region,Jeddah, alwidad ,20272364,6/22/2023,Residential,land,1,335000,950.0,353
Makkah Region,Jeddah, Rahmaniyah ,19665519,4/5/2023,Residential,land,1,800000,600.0,"1,333"
Riyadh region,Riyadh,Al-Zahra,19905047,5/11/2023,Residential,land,1,1400000,270.0,"5,185"
Makkah Region,Jeddah,jawharat alearus,20598930,8/8/2023,Residential,land,1,525000,820.0,640
Riyadh region,Riyadh, Al-Wisam ,20955063,9/16/2023,Residential,land,1,120900,300.0,403
Asir region,Abha,Abha Al-Sharaf,20607773,8/9/2023,Residential,land,1,669342,518.9,"1,290"
Eastern Region,Dammam, alnuwr,20653666,8/15/2023,Residential,land,1,960000,600.0,"1,600"
Qassim region,almudhanab, almudhanib ,19742513,4/9/2023,Residential,land,1,49500,300.0,165
Makkah Region,Makkah,Batha Quraish City approved,19985005,5/21/2023,Residential,apartment,1,725000,181.57,"3,993"
Qassim region,baridah, Alhadia,20423233,7/19/2023,Residential,land,1,150000,754.32,199
Medina region,AL Madinah,Al-Sahwa,20749451,8/27/2023,Residential,land,1,500000,500.0,"1,000"
Makkah Region,Jeddah, Al-Waha ,20195352,6/15/2023,Residential,apartment,1,350000,122.24,"2,863"
Riyadh region,Riyadh,alsafa,20967060,9/17/2023,Residential,land,1,1900000,735.0,"2,585"
Eastern Region,Dammam,alkhalij ,20427262,7/19/2023,Residential,land,1,350000,152.18,"2,300"
Eastern Region,Dammam, Hajar ,21067356,9/27/2023,Residential,land,1,1543500,630.0,"2,450"
Riyadh region,Riyadh,alnarjis,20556262,8/3/2023,Residential,land,1,1190000,900.0,"1,322"
Riyadh region,Al Kharj, Yarmouk ,20899169,9/10/2023,Residential,land,1,100000,600.0,167
Eastern Region,Dammam, Al-Hussam ,20976474,9/18/2023,Residential,land,1,1414103,628.49,"2,250"
Eastern Region,Hafar Al-Batin, Flig ,20064930,5/31/2023,Residential,land,1,80000,400.0,200
Eastern Region,Dammam, alsayf ,20203545,6/18/2023,Residential,land,1,3287813,1043.75,"3,150"
Makkah Region,Jeddah, aalmajd ,21011055,9/21/2023,Residential,land,1,172000,450.0,382
Tabuk region,Tabuk, Rabieh 1 ,20199798,6/18/2023,Residential,apartment,1,374424,175.87,"2,129"
Riyadh region,Riyadh,Al-Farouq,20351801,7/10/2023,Residential,land,1,1222000,470.0,"2,600"
Eastern Region,alkhabar,Al Thuqbah ,19749678,4/10/2023,Residential,land,1,200000,162.72,"1,229"
Eastern Region,Jubail,Dana,20786031,8/30/2023,Residential,land,1,748954,445.25,"1,682"
Riyadh region,Riyadh,Laban,20455835,7/23/2023,Residential,apartment,1,1200000,293.22,"4,092"
Riyadh region,Riyadh,Namar,20201612,6/18/2023,Residential,land,1,800000,900.0,889
Riyadh region,Riyadh, Al-Wisam ,20955098,9/16/2023,Residential,land,1,120900,300.0,403
Riyadh region,Riyadh, Al-Wisam ,20956706,9/16/2023,Residential,land,1,120900,300.0,403
Eastern Region,Hasa, Rashidiya,20532160,8/1/2023,Residential,land,1,465000,300.0,"1,550"
Riyadh region,Riyadh,Al-Kharj Road,20080776,6/1/2023,Residential,land,1,295000,595.4,495
Makkah Region,Jeddah, Raghama ,20845584,9/6/2023,Residential,apartment,1,671615,216.58,"3,101"
Qassim region,Alrass,Al-Morouj ,19792802,4/16/2023,Residential,land,1,90000,450.0,200
Riyadh region,Riyadh,alrimal,19886171,5/9/2023,Residential,land,1,731250,292.5,"2,500"
Jazan region,Jizan,Andalusia,20290196,7/2/2023,Residential,land,1,350000,1078.4,325
Qassim region,baridah, Dharij,20603238,8/9/2023,Residential,land,1,120000,480.0,250
Riyadh region,Riyadh,Al-Azizia,19969601,5/18/2023,Residential,land,1,1180000,698.26,"1,690"
Riyadh region,Riyadh,Olaya,20919888,9/12/2023,Residential,land,1,8999000,902.0,"9,977"
Riyadh region,Riyadh,Al-Rayyan,20711153,8/22/2023,Residential,land,1,457142,150.0,"3,048"
Qassim region,baridah, Al-Lasib ,20245436,6/20/2023,Residential,land,1,125000,250.0,500
Riyadh region,Riyadh,Al-Hada,19726816,4/6/2023,Residential,land,1,27000000,6567.28,"4,111"
Eastern Region,Dammam,Abdullah Fouad,20436707,7/20/2023,Residential,land,1,1850000,930.0,"1,989"
Riyadh region,Riyadh,Namar,19944622,5/16/2023,Residential,land,1,410000,751.5,546
Riyadh region,Riyadh,Al-Malqa,20527800,7/31/2023,Residential,apartment,1,575250,105.24,"5,466"
Qassim region,baridah,alshaqa,19773720,4/13/2023,Residential,land,1,93750,250.0,375
Najran region,Najran, Rawda ,20579429,8/6/2023,Residential,land,1,250000,660.0,379
Qassim region,baridah, Al-Batin ,20407713,7/17/2023,Residential,land,1,185400,438.42,423
Makkah Region,Jeddah,Jawharat Al Arous ,20910120,9/11/2023,Residential,land,1,650000,868.0,749
Medina region,AL Madinah,Asba,20320547,7/10/2023,Residential,house,1,1375923,214.39,"6,418"
Eastern Region,Abqaiq,Cordoba,20258792,6/21/2023,Residential,land,1,175000,657.95,266
Makkah Region,Taif, qarwaa ,20387488,7/13/2023,Residential,apartment,1,550000,232.96,"2,361"
Qassim region,baridah, Al-Batin ,20245518,6/20/2023,Residential,land,1,60000,325.0,185
Asir region,Abha, Minsk ,20908900,9/11/2023,Residential,land,1,1630000,315.53,"5,166"
Jazan region,Jizan, Mohammedia ,20688178,8/20/2023,Residential,apartment,1,860000,368.14,"2,336"
Qassim region,baridah, Al-Wasiti ,20603558,8/9/2023,Residential,land,1,100000,204.85,488
Qassim region,Albkirih,Bukiriya,20804501,9/2/2023,Residential,land,1,50000,375.0,133
Makkah Region,Jeddah, Al-Marwa ,19692906,4/3/2023,Residential,apartment,1,430000,131.97,"3,258"
Makkah Region,Jeddah, Al Faisaliah  ,20352860,7/10/2023,Residential,apartment,1,180000,93.71,"1,921"
Riyadh region,Riyadh,East of Riyadh,20099806,6/4/2023,Residential,land,1,340000,750.0,453
Eastern Region,Dammam, Al-Shuala ,20536836,8/1/2023,Residential,land,1,1356068,968.62,"1,400"
Riyadh region,Riyadh,Jasmine,20194837,6/15/2023,Residential,apartment,1,593263,202.23,"2,934"
Riyadh region,Riyadh,alnarjis,20200099,6/18/2023,Residential,land,1,1640600,342.0,"4,797"
Riyadh region,Riyadh,Namar,20964710,9/17/2023,Residential,land,1,355000,585.0,607
Eastern Region,Dammam, alzuhur ,19846680,5/4/2023,Residential,apartment,1,445000,133.91,"3,323"
Riyadh region,Al Kharj, Mohammedia ,20325948,7/9/2023,Residential,land,1,260000,375.0,693
Qassim region,baridah, Rehab ,19704646,4/12/2023,Residential,apartment,1,1130000,468.75,"2,411"
Riyadh region,Riyadh,Tuwaiq,19847724,5/4/2023,Residential,land,1,1800000,900.0,"2,000"
Makkah Region,Jeddah, Al Sawari ,19921765,5/14/2023,Residential,land,1,2700000,750.0,"3,600"
Riyadh region,Riyadh,Manfuha,21033547,9/25/2023,Residential,land,1,350000,402.5,870
Riyadh region,Riyadh,Namar,20286510,6/26/2023,Residential,land,1,400000,357.3,"1,120"
Medina region,AL Madinah,Al-Aqoul,20389829,7/14/2023,Residential,land,1,400000,629.85,635
Eastern Region,Dammam, alnuwr  ,20047258,5/30/2023,Residential,apartment,1,350000,243.97,"1,435"
Riyadh region,Riyadh, Al-Wisam ,20952574,9/15/2023,Residential,land,1,120900,300.0,403
Riyadh region,Riyadh, Al-Sahab ,20968121,9/17/2023,Residential,land,1,128354,318.5,403
Eastern Region,Dammam,North Rakah,19840150,5/3/2023,Residential,land,1,1038000,620.5,"1,673"
Eastern Region,Dammam, alfirdaws  ,19830780,5/1/2023,Residential,apartment,1,525000,169.56,"3,096"
Riyadh region,Riyadh,alrimal,19793102,4/14/2023,Residential,land,1,1000000,400.0,"2,500"
Riyadh region,Riyadh,Al-Khair,19772814,4/12/2023,Residential,land,1,390000,375.0,"1,040"
Riyadh region,Riyadh,Dekna,20820403,9/4/2023,Residential,land,1,500000,500.0,"1,000"
Hail region,Hail, qafaar ,20386750,7/13/2023,Residential,land,1,255000,371.71,686
Makkah Region,Jeddah, Rawda ,20270860,6/22/2023,Residential,land,1,6300000,500.25,"12,594"
Qassim region,baridah, Al-Akirsha ,19769438,4/12/2023,Residential,land,1,450000,527.4,853
Riyadh region,Riyadh,Namar,20971020,9/18/2023,Residential,land,1,420000,468.0,897
Riyadh region,Riyadh, Al-Wisam ,20955211,9/16/2023,Residential,land,1,120900,300.0,403
Riyadh region,Riyadh,Al-Khair,20493911,7/27/2023,Residential,land,1,875000,810.0,"1,080"
Makkah Region,Jeddah, Al-Manar ,19692759,4/4/2023,Residential,land,1,2820000,600.0,"4,700"
Jazan region,Jizan, Al Rawabi ,20057414,5/30/2023,Residential,land,1,638393,851.19,750
Makkah Region,Makkah,Batha Quraish,19772285,4/12/2023,Residential,apartment,1,452500,134.55,"3,363"
Makkah Region,Makkah,Batha Quraish,20792044,8/31/2023,Residential,land,1,2000000,945.0,"2,116"
Qassim region,baridah,Al-Qadisiyah,20381007,7/13/2023,Residential,land,1,1500000,1500.0,"1,000"
Riyadh region,Riyadh,Badr,20559858,8/3/2023,Residential,land,1,700000,500.0,"1,400"
Qassim region,Alrass,Al-Morouj ,20174410,6/12/2023,Residential,land,1,120084,545.84,220
Makkah Region,Jeddah, Alhambra ,20416465,7/18/2023,Residential,apartment,1,800000,195.6,"4,090"
Riyadh region,Riyadh,Namar,20286369,6/26/2023,Residential,land,1,400000,375.0,"1,067"
Eastern Region,Hafar Al-Batin, albaladia ,19900441,5/10/2023,Residential,land,1,320000,600.0,533
Makkah Region,Makkah, Asila,20411012,7/18/2023,Residential,apartment,1,416667,111.38,"3,741"
Makkah Region,Makkah,Mecca,20425638,7/19/2023,Residential,apartment,1,1200000,548.74,"2,187"
Makkah Region,Jeddah,Al-Azizia,19985477,5/21/2023,Residential,land,1,3700000,900.0,"4,111"
Riyadh region,Riyadh,Namar,20834228,9/5/2023,Residential,land,1,117500,375.0,313
Riyadh region,Al Kharj, Mushrif ,20427186,7/19/2023,Residential,land,1,30000,300.0,100
Riyadh region,Riyadh,Nozha,19795009,4/15/2023,Residential,apartment,1,1150000,99.36,"11,574"
Qassim region,baridah, Al-Nakhil ,20309986,7/6/2023,Residential,apartment,1,414000,187.56,"2,207"
Tabuk region,Tabuk, Nahda ,20007183,5/24/2023,Residential,apartment,1,286984,130.41,"2,201"
Riyadh region,Riyadh,Hattin,19763562,4/11/2023,Residential,apartment,1,1314000,152.22,"8,632"
Riyadh region,Riyadh,Al Murabba,20280200,6/24/2023,Residential,land,1,1100000,378.0,"2,910"
Riyadh region,Riyadh,Al-Ghanamiya,20195874,6/15/2023,Residential,land,1,150000,496.14,302
Riyadh region,Riyadh, Al-Sahab ,20956647,9/16/2023,Residential,land,1,120900,300.0,403
Riyadh region,Riyadh,Yarmouk,20179681,6/13/2023,Residential,land,1,1530000,387.5,"3,948"
Riyadh region,Riyadh,Arid,20466279,7/24/2023,Residential,land,1,300000,468.0,641
Eastern Region,Dammam, Al-Shuala ,20251293,6/21/2023,Residential,apartment,1,200000,176.45,"1,133"
Riyadh region,Riyadh,Jasmine,20165384,6/11/2023,Residential,apartment,1,1259000,138.81,"9,070"
Eastern Region,Al-Hofuf,Dana,20678178,8/17/2023,Residential,land,1,389500,410.0,950
Riyadh region,Riyadh,Al-Khair,20290618,7/2/2023,Residential,land,1,580000,390.0,"1,487"
Jazan region,Jizan, alsafa ,20032565,5/30/2023,Residential,apartment,1,531918,188.62,"2,820"
Hail region,Hail, Al-Wadi ,20539811,8/1/2023,Residential,land,1,168000,560.0,300
Eastern Region,Dammam,Badr,20633365,8/13/2023,Residential,apartment,1,300000,154.86,"1,937"
Makkah Region,Makkah, Alhambra ,20307995,7/5/2023,Residential,land,1,1450000,525.0,"2,762"
Makkah Region,Jeddah, alfanaar ,20726046,8/23/2023,Residential,land,1,660000,450.0,"1,467"
Riyadh region,Riyadh, Al-Sahab ,20957266,9/16/2023,Residential,land,1,152409,378.19,403
Riyadh region,Riyadh,aldaar albayda,20342752,7/10/2023,Residential,land,1,135333,780.0,174
Riyadh region,Riyadh,Al-Khair,19729470,4/7/2023,Residential,land,1,470000,450.0,"1,044"
Eastern Region,Jubail, tayiba ,19952476,5/17/2023,Residential,land,1,1400000,400.0,"3,500"
Riyadh region,Riyadh,Qurtuba,20616713,8/10/2023,Residential,land,1,2400000,549.75,"4,366"
Al-Jawf region,Sakaka, Rahmaniyah ,19856843,5/8/2023,Residential,land,1,200000,500.0,400
Makkah Region,Jeddah,jawharat alearus,19817352,4/30/2023,Residential,land,1,450000,899.0,501
Riyadh region,Riyadh,Al-Khair,19971356,5/19/2023,Residential,land,1,850000,780.0,"1,090"
Jazan region,Jizan,Nasiriyah 4,20077067,6/1/2023,Residential,land,1,200000,1065.4,188
Eastern Region,Qatif, Saihat ,20661909,8/16/2023,Residential,land,1,1864291,276.0,"6,755"
Makkah Region,Makkah,Batha Quraish,20557177,8/3/2023,Residential,apartment,1,400000,89.12,"4,488"
Eastern Region,Jubail, aldabab ,19834760,5/2/2023,Residential,land,1,50000,323.0,155
Qassim region,baridah,Khub Al-Thunayan,20865055,9/7/2023,Residential,apartment,1,350000,257.78,"1,358"
Eastern Region,Hasa, Al Rajhi ,20454125,7/23/2023,Residential,land,1,1085000,700.0,"1,550"
Riyadh region,Riyadh,Namar,20473241,7/25/2023,Residential,land,1,928640,450.0,"2,064"
Asir region,Abha, Mahalla ,20517947,7/31/2023,Residential,land,1,390000,600.0,650
Riyadh region,Riyadh,Al-Khair,19692752,4/3/2023,Residential,land,1,850000,750.0,"1,133"
Makkah Region,Jeddah, Al-Waha ,21004091,9/20/2023,Residential,apartment,1,510000,156.83,"3,252"
Eastern Region,Dammam, Al-Shuala ,20653526,8/15/2023,Residential,land,1,948679,649.78,"1,460"
Riyadh region,Riyadh,Jasmine,20145631,6/11/2023,Residential,land,1,14175000,1050.0,"13,500"
Riyadh region,Riyadh,alwurud,20173603,6/12/2023,Residential,land,1,5000000,424.96,"11,766"
Makkah Region,Makkah,Makkah Oasis,19893278,5/10/2023,Residential,apartment,1,235000,96.76,"2,429"
Riyadh region,Riyadh, Al-Wisam ,20955331,9/16/2023,Residential,land,1,120900,300.0,403
Makkah Region,Makkah,Modified green,21061037,9/27/2023,Residential,apartment,1,700000,226.28,"3,094"
Eastern Region,Dammam, Al-Shuala ,20433298,7/20/2023,Residential,land,1,3383703,2197.21,"1,540"
Riyadh region,Riyadh,Al-mashaeil,20071344,5/31/2023,Residential,land,1,1672000,903.87,"1,850"
Eastern Region,Qatif,Umm al-Sahik,20892624,9/10/2023,Residential,land,1,866151,524.94,"1,650"
Riyadh region,Riyadh,East of Riyadh,20088898,6/3/2023,Residential,land,1,360000,952.0,378
Asir region,rijal almae, albanaa ,19755928,4/11/2023,Residential,land,1,130000,670.0,194
Riyadh region,Riyadh,Laban,19824879,4/30/2023,Residential,apartment,1,410000,123.98,"3,307"
Asir region,Abha,Mahalla in Sultan city,19810321,4/26/2023,Residential,land,1,330000,750.0,440
Riyadh region,Riyadh, Al-Wisam ,20955315,9/16/2023,Residential,land,1,120900,300.0,403
Jazan region,Jizan, Mohammedia ,20177017,6/13/2023,Residential,apartment,1,582967,200.39,"2,909"
Hail region,Hail, qafaar ,19836616,5/3/2023,Residential,land,1,100000,639.5,156
Hail region,Hail, almadayin ,19822866,4/30/2023,Residential,land,1,80000,600.0,133
Riyadh region,Riyadh,altaeawun,20286492,6/26/2023,Residential,apartment,1,857000,158.56,"5,405"
Makkah Region,Jeddah, Miriykh ,20377541,7/12/2023,Residential,apartment,1,330000,94.6,"3,488"
Riyadh region,Riyadh,Mahdia,20989881,9/19/2023,Residential,land,1,1735500,225.0,"7,713"
Riyadh region,Dharmaa, Al Bateen ,20743826,8/26/2023,Residential,land,1,380000,500.0,760
Makkah Region,Jeddah, Riyadh ,20454026,7/23/2023,Residential,land,1,350000,312.5,"1,120"
Riyadh region,Riyadh,Munsiyah,19825398,4/30/2023,Residential,apartment,1,950000,104.74,"9,070"
Riyadh region,Riyadh,Manfuha,20591104,8/7/2023,Residential,house,1,550000,109.65,"5,016"
Medina region,AL Madinah,Al-Rummanah,20773644,8/29/2023,Residential,land,1,144997,193.23,750
Riyadh region,Riyadh, Arqa ,19903816,5/11/2023,Residential,apartment,1,1049990,169.92,"6,179"
Makkah Region,Jeddah,jawharat alearus,20923766,9/12/2023,Residential,land,1,675000,900.0,750
Riyadh region,Riyadh,aldaar albayda,20509351,7/30/2023,Residential,apartment,1,492879,170.51,"2,891"
Riyadh region,Riyadh,East of Riyadh,20547946,8/2/2023,Residential,land,1,250000,600.0,417
Qassim region,baridah, Alsafra,20522928,7/31/2023,Residential,land,1,150000,400.0,375
Riyadh region,Riyadh,Jasmine,20917377,9/12/2023,Residential,apartment,1,565227,125.3,"4,511"
Riyadh region,Riyadh,Misfa,20368188,7/11/2023,Residential,land,1,322500,400.0,806
Makkah Region,Jeddah, alzumarud ,20082253,6/1/2023,Residential,land,1,600000,320.75,"1,871"
Riyadh region,Riyadh,Laban,20900498,9/10/2023,Residential,apartment,1,790000,254.75,"3,101"
Riyadh region,Riyadh,Badr,20126471,6/6/2023,Residential,land,1,1000000,315.0,"3,175"
Riyadh region,Riyadh,alrimal,21027628,9/25/2023,Residential,apartment,1,1220000,316.04,"3,860"
Eastern Region,Dammam, aleadama ,20427400,7/19/2023,Residential,land,1,200000,79.8,"2,506"
Asir region,Mahayil Asir,Al-Hila,20164587,6/12/2023,Residential,land,1,100000,480.0,208
Makkah Region,Makkah,Umm Al-Kattad,20198387,6/18/2023,Residential,apartment,1,557500,161.64,"3,449"
Hail region,Hail, almadayin ,20125253,6/6/2023,Residential,land,1,160000,600.0,267
Riyadh region,Riyadh,alhayir,20201384,6/18/2023,Residential,land,1,125000,796.2,157
Riyadh region,Riyadh,Badr,19900275,5/10/2023,Residential,land,1,780000,600.0,"1,300"
Riyadh region,Riyadh,Al-Malqa,20608717,8/9/2023,Residential,apartment,1,1700000,127.76,"13,306"
Riyadh region,Riyadh, Al-Wisam ,20956902,9/16/2023,Residential,land,1,120900,300.0,403
Najran region,Najran,Al-Fahd,21014414,9/21/2023,Residential,land,1,200000,400.0,500
Eastern Region,Al-Hofuf,Hofuf,19934824,5/16/2023,Residential,land,1,300000,427.5,702
Eastern Region,Dammam, Montazah ,20225532,6/20/2023,Residential,land,1,1860000,744.0,"2,500"
Qassim region,baridah, Al-Tayseer ,20748058,8/27/2023,Residential,land,1,157500,375.0,420
Riyadh region,Riyadh,Al-Khair,19794438,4/19/2023,Residential,land,1,405000,397.5,"1,019"
Riyadh region,Riyadh,Al-Khair,19859334,5/7/2023,Residential,land,1,1050000,858.38,"1,223"
Eastern Region,Dammam, Al-Shuala ,20543473,8/2/2023,Residential,land,1,4854822,3467.73,"1,400"
Makkah Region,Makkah,Batha Quraish,21069763,9/27/2023,Residential,apartment,1,670000,159.58,"4,199"
Riyadh region,Riyadh,Arid,20004419,5/23/2023,Residential,land,1,210000,375.0,560
Qassim region,baridah, alhumr ,20786312,8/30/2023,Residential,land,1,860000,382.75,"2,247"
Eastern Region,Dammam, Al-Shuala ,20917161,9/12/2023,Residential,land,1,922662,631.96,"1,460"
Riyadh region,Riyadh,Manfuha,20827409,9/4/2023,Residential,land,1,700000,255.0,"2,745"
Makkah Region,Makkah,Nozha,19982187,5/21/2023,Residential,apartment,1,790000,244.39,"3,233"
Riyadh region,Riyadh, Al-Wisam ,20955927,9/16/2023,Residential,land,1,120900,300.0,403
Makkah Region,ranih,alwurud,20266547,6/22/2023,Residential,land,1,100000,600.0,167
Jazan region,Jizan, Mohammedia 2 ,20473849,7/25/2023,Residential,apartment,1,530000,209.27,"2,533"
Eastern Region,Hafar Al-Batin, alsinaeia ,20524682,7/31/2023,Residential,land,1,65000,420.0,155
Riyadh region,Riyadh,Badr,20496696,7/27/2023,Residential,land,1,388800,432.0,900
Eastern Region,Al-Hofuf, al'umara ,20051718,5/30/2023,Residential,land,1,260000,400.0,650
Riyadh region,Riyadh,Al-Arid,20023471,5/25/2023,Residential,apartment,1,834994,135.06,"6,182"
Riyadh region,Riyadh,Namar,21043240,9/26/2023,Residential,land,1,390000,375.0,"1,040"
Riyadh region,Riyadh,Al-Aqiq,19983546,5/21/2023,Residential,land,1,6800000,525.0,"12,952"
Riyadh region,Riyadh,Rawda,20663638,8/16/2023,Residential,apartment,1,760000,120.34,"6,315"
Riyadh region,Riyadh,alnarjis,20005299,5/23/2023,Residential,apartment,1,1500000,226.94,"6,610"
Makkah Region,Jeddah, Al-Rayyan ,19965084,5/21/2023,Residential,apartment,1,726500,193.83,"3,748"
Asir region,Abha,Abha Al-Sharaf,20608981,8/9/2023,Residential,land,1,774000,600.0,"1,290"
Riyadh region,Al Kharj,Burj,20178105,6/13/2023,Residential,land,1,630000,700.0,900
Riyadh region,Riyadh,Manfuha,20784020,8/30/2023,Residential,land,1,575000,306.53,"1,876"
Makkah Region,Jeddah, Al-Marwa ,20934724,9/13/2023,Residential,land,1,2659000,590.93,"4,500"
Makkah Region,Jeddah, Al-Manar ,20735579,8/24/2023,Residential,apartment,1,820000,215.02,"3,814"
Makkah Region,Jeddah, Rahmaniyah ,20494574,7/27/2023,Residential,land,1,780000,600.0,"1,300"
Makkah Region,Jeddah, Al Naseem ,20973489,9/18/2023,Residential,land,1,2300000,575.0,"4,000"
Riyadh region,Riyadh,eakaaz,20730147,8/24/2023,Residential,land,1,417060,347.55,"1,200"
Riyadh region,Riyadh,Sulaymaniyah,20178371,6/13/2023,Residential,land,1,2850000,335.0,"8,507"
Riyadh region,Riyadh,Al-Jaradiya,20412318,7/18/2023,Residential,house,1,500000,595.61,839
Makkah Region,Jeddah,Jawharat Al Arous ,20950911,9/15/2023,Residential,land,1,700000,837.0,836
Riyadh region,Riyadh,ashbilya,20185336,6/14/2023,Residential,land,1,1712998,487.5,"3,514"
